Order,Key,Description,
1,B,This is a lady,
2,A,The cat kicks the boy and the dog,
3,B,The boy is kicking the cat that kicks the dog,
4,A,The woman that the dog leads is pulling the baby,
5,B,The dog that chases the girl is following the boy,
6,B,The boy and the bear watch the duck,
7,A,The girl kicks the boy that the cat is kicking,
8,A,The lady is kissing the man,
9,B,The boy is pushing the girl,
10,A,The mother is being pulled by the baby,
11,B,This picture shows a lady,
12,A,The monkey pets the boy and the girl,
13,B,The bear and the boy watch the duck ,
14,A,The mother that the baby watches is staring at the father ,
15,A,The bear leads the boy that is pulling the girl,
16,A,This is a pig,
17,B,The boy is being kissed by the girl,
18,A,The baby stares at the mother that is watching the father,
19,A,The dog is chasing the boy,
20,B,The cat that the boy chases is following the duck,
21,A,The boy that is carrying the cat holds the dog ,
22,A,The dog is being chased by the cat,
23,B,This is a picture of a man,
24,B,The duck is watching the monkey and the baby,
25,A,The cat and the dog kick the boy,
26,A,The girl is kicking the boy,
27,B,The girl chases the boy and the dog,
28,A,The boy that is pushing the girl shoves the monkey,
29,B,The horse follows the boy that the cow is chasing ,
30,B,Here is a duck,
31,B,The dog follows the girl that the boy is chasing,
32,A,The girl is being washed by the boy,
33,B,The boy and the girl pet the monkey,
34,B,The boy pushes the girl and the monkey,
35,B,The mom that the baby is leading pulls the dog ,
36,A,The dog follows the girl that is chasing the boy,
37,B,The cat that the dog nips is biting the girl ,
38,B,The mother that is leading the baby pulls the dog. ,
39,A,The pig follows the cat that the dog is chasing.,
40,B,The bear that is watching the boy stares at the dad,
41,B,The dog nips the cat that is biting the girl,
42,A,The man is kissing the lady,
43,A,The dog nips the girl that the cat is biting,
44,A,The girl and the cat kick the boy,
45,B,This is a baby,
46,A,The cat chases the dog ,
47,B,The lady that the man is leading pulls the dog,
48,A,The monkey touches the cat that the girl is petting.,
49,A,The man is kissed by the lady,
50,B,The mother is pushing the boy and the girl,
51,A,The mother pushes the girl who is shoving the boy,
52,A,The lady that leads the man is pulling the dog,
53,B,The baby pulls the mother,
54,A,Here is a cat,
55,B,The boy is scratching the dog and the cat,
56,B, This picture shows a boy,
57,A,The monkey and the girl pet the cat ,
58,B,The monkey pats the boy that is touching the girl,
59,B,The duck that watches the baby is staring at the monkey,
60,A,The girl is kicked by the boy,
61,B,The horse and the cow chase the boy,
62,B,The dog follows the boy that girl is chasing.,
63,A,The monkey and the duck watch the baby,
64,A,The girl that the dog follows is chasing the boy,
65,A,The boy that watches the bear is staring at the duck ,
66,B,The boy is pushed by the girl,
67,A,The girl kisses the boy ,
68,A,The cat and the boy carry the dog,
69,B,The bear is watching the dad and the boy,
70,A, The dog is chased by the boy,
71,A,The boy that the bear leads is pulling the girl,
72,B,The dog chases the pig that the cat is following,
73,B,The man is leading the lady that pulls the dog,
74,A,The boy washes the girl,
75,A,The monkey that pats the boy is touching the girl,
76,B,The bear that the boy is watching stares at the duck,
77,A,The boy scratches the cat and the dog,
78,A,The duck observes the baby that the monkey is watching,
79,A,This is a picture of a dog,
80,B,The boy stares at the bear that is watching the duck ,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
