word,realpseudo
able,real
ablood,pseudo
accastanct,pseudo
accustomed,real
acquisitiveness,real
after,real
ag,pseudo
again,real
agreed,real
air,real
albust,pseudo
alipol,pseudo
alk,pseudo
almost,real
am,real
an,real
ancrusinishness,pseudo
and,real
animal,real
answer,real
ap,pseudo
appropriates,real
ar,pseudo
arf,pseudo
arm,real
arsher,pseudo
as,real
asca,pseudo
ase,pseudo
at,real
away,real
baafness,pseudo
back,real
bads,pseudo
ball,real
bams,pseudo
bangs,real
banny,pseudo
bawed,pseudo
be,real
beautiful,real
become,real
beeching,pseudo
beeltisul,pseudo
begin,real
beller,pseudo
benon,pseudo
bere,pseudo
besime,pseudo
best,real
better,real
bi,pseudo
black,real
blans,pseudo
bledge,pseudo
bone,real
bot,pseudo
bove,pseudo
brought,real
brubs,pseudo
brush,real
budget,real
building,real
bulbet,pseudo
business,real
but,real
cag,pseudo
can,real
candy,real
car,real
cas,pseudo
cat,real
chance,real
chanding,pseudo
charks,pseudo
charring,real
che,pseudo
chigshen,pseudo
children,real
cibsus,pseudo
circus,real
clomify,pseudo
clought,pseudo
cok,pseudo
collapse,real
collosks,pseudo
cologne,real
come,real
complase,pseudo
complete,real
compliment,real
configuration,real
congusozation,pseudo
contain,real
contive,pseudo
coth,pseudo
cotosks,pseudo
cotplicant,pseudo
could,real
cow,real
cowbim,pseudo
cowboy,real
creat,pseudo
crit,pseudo
crovel,pseudo
cuppom,pseudo
custom,real
da,pseudo
dag,pseudo
daople,pseudo
dat,pseudo
de,pseudo
describe,real
destrifs,pseudo
distance,real
distides,pseudo
do,real
dog,real
dood,pseudo
dooseful,pseudo
doubtful,real
down,real
drnuo,pseudo
drustion,pseudo
dryer,real
duttery,pseudo
ees,pseudo
ef,pseudo
elements,real
en,pseudo
enan,pseudo
esslyots,pseudo
et,pseudo
etecants,pseudo
even,real
everyone,real
fafever,pseudo
family,real
famous,real
farmer,real
fasees,pseudo
fast,real
faster,real
father,real
fatter,real
fattify,pseudo
fave,pseudo
fawerty,pseudo
fimp,pseudo
finally,real
find,real
fine,real
fing,pseudo
fireer,pseudo
fish,real
fistory,pseudo
fite,pseudo
flankfopper,pseudo
freat,pseudo
from,real
fror,pseudo
fruit,real
gaian,pseudo
ganner,pseudo
ganter,pseudo
garbant,pseudo
garden,real
garment,real
ge,pseudo
germantia,pseudo
ggnoi,pseudo
gibs,pseudo
give,real
go,real
going,real
good,real
goud,pseudo
grasshopper,real
grat,pseudo
gravel,real
great,real
green,real
groon,pseudo
guarantee,real
guess,real
guoys,pseudo
hadder,pseudo
hammer,real
han,pseudo
hand,real
hane,pseudo
hant,pseudo
have,real
he,real
hect,pseudo
help,real
hencory,pseudo
here,real
him,real
his,real
history,real
hitter,pseudo
hktni,pseudo
holily,pseudo
hom,pseudo
homogeneous,real
hore,pseudo
hot,real
however,real
hu,pseudo
hube,pseudo
huge,real
hus,pseudo
hust,pseudo
hy,pseudo
idthepiates,pseudo
if,real
imagine,real
imeyits,pseudo
immiterise,pseudo
impoverish,real
in,real
inni,pseudo
inpant,pseudo
inside,real
insows,pseudo
into,real
invectiress,pseudo
invent,real
investigate,real
ip,pseudo
is,real
jewel,real
jixel,pseudo
jostile,pseudo
jump,real
just,real
justice,real
khtna,pseudo
kile,pseudo
kind,real
knead,real
knew,real
lame,real
land,real
lant,pseudo
lape,pseudo
leald,pseudo
learn,real
left,real
leld,pseudo
liberty,real
library,real
liffs,pseudo
light,real
live,real
lkoo,pseudo
loak,pseudo
loms,pseudo
long,real
look,real
losh,pseudo
lost,real
mader,pseudo
man,real
mannanency,pseudo
me,real
meat,real
med,pseudo
mich,pseudo
milk,real
miss,real
mistake,real
mistive,pseudo
molent,pseudo
molk,pseudo
money,real
moon,real
moop,pseudo
more,real
morning,real
mot,pseudo
mout,pseudo
mpju,pseudo
mun,pseudo
must,real
my,real
mystery,real
na,pseudo
nap,real
napery,real
natural,real
naw,pseudo
need,real
never,real
new,real
nied,pseudo
no,real
nop,pseudo
nuder,pseudo
number,real
nurger,pseudo
oban,pseudo
oenc,pseudo
of,real
office,real
old,real
om,pseudo
on,real
once,real
only,real
open,real
orn,pseudo
os,pseudo
ot,pseudo
other,real
overtruan,pseudo
overwhelm,real
pame,pseudo
paper,real
part,real
peace,real
pealt,pseudo
pencil,real
people,real
permanency,real
phlere,pseudo
pickle,real
piscil,pseudo
place,real
plane,real
play,real
plays,real
pledge,real
pocorism,pseudo
polarize,real
pon,pseudo
pop,real
potent,real
power,real
pretty,real
pumer,pseudo
purchase,real
purshare,pseudo
qualify,real
quen,pseudo
question,real
rackle,pseudo
rebosks,pseudo
recorse,pseudo
red,real
reeh,pseudo
repress,real
rescets,pseudo
resolve,real
reverse,real
ridicule,real
river,real
ro,pseudo
roder,pseudo
round,real
runey,pseudo
ruticole,pseudo
sail,real
sain,pseudo
sausage,real
scays,pseudo
seadrill,pseudo
seashell,real
see,real
serning,pseudo
she,real
sheas,pseudo
shine,real
shink,pseudo
shoes,real
sholt,pseudo
short,real
shotty,pseudo
shring,pseudo
sick,real
sids,pseudo
signal,real
signaller,real
sildal,pseudo
sing,real
sint,pseudo
skateboard,real
slace,pseudo
slellen,pseudo
slit,real
snose,pseudo
so,real
sobsaller,pseudo
some,real
soth,pseudo
sould,pseudo
space,real
spat,real
special,real
spell,real
speveal,pseudo
sphere,real
spoll,pseudo
spring,real
spu,pseudo
spuer,pseudo
spy,real
stail,pseudo
stain,real
stamp,real
stass,pseudo
ston,pseudo
stop,real
strange,real
strarms,pseudo
streat,pseudo
street,real
strong,real
strosh,pseudo
sudsage,pseudo
sun,real
swane,pseudo
swollen,real
take,real
tascer,pseudo
tate,pseudo
te,pseudo
telechinct,pseudo
telescoped,real
testify,real
tfaer,pseudo
tha,pseudo
thank,real
thantboard,pseudo
the,real
them,real
then,real
ther,pseudo
think,real
through,real
tice,pseudo
time,real
timelly,pseudo
tister,pseudo
tok,pseudo
